Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
91,25.0,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29.0,CC,Monthly
92,44.0,male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18.0,CC,Every 3 Months
93,61.0,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13.0,Venmo,Every 3 Months
94,37.0,Male,Sweater,clothin,62.0,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46.0,CC,Weekly
95,58.0,Male,Skirt,clothin,76.0,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28.0,CC,Weekly
96,37.0,Male,Sneakers,Foot-wear,100.0,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48.0,pay pal,Monthly
97,32.0,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,,Yes,Express,Yes,Yes,43.0,Venmo,Every 3 Months
98,21.0,male,Shoes,Foot-wear,92.0,  Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37.0,Cash,Annually
99,20.0,male,Jeans,clothin,67.0,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20.0,Bank Transfer,Annually
100,26.0,Male,Hoodie,clothin,40.0,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33.0,Debit Card,Quarterly
101,62.0,M,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31.0,Cash,Fortnightly
102,,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50.0,CC,Bi-Weekly
103,51.0,Male,Socks,clothin,67.0,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35.0,CC,Quarterly
104,54.0,male,Boots,Foot-wear,89.0,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22.0,Venmo,Bi-Weekly
105,55.0,M,Sunglasses,Accessories,24.0,  New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1.0,pay pal,Monthly
106,,male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4.0,Bank Transfer,Annually
107,64.0,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31.0,CC,Monthly
108,28.0,M,Sneakers,Foot-wear,67.0,,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46.0,pay pal,Fortnightly
109,70.0,Male,Socks,clothin,79.0,,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32.0,Bank Transfer,Bi-Weekly
110,58.0,male,T-shirt,,85.0,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43.0,Bank Transfer,Fortnightly
111,56.0,male,Backpack,Accessories,26.0,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26.0,Venmo,Fortnightly
112,26.0,male,Belt,Accessories,75.0,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9.0,CC,Annually
113,37.0,Male,Gloves,Accessories,65.0,  Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28.0,pay pal,Bi-Weekly
114,44.0,Male,Hat,Accessories,54.0,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20.0,pay pal,Quarterly
115,70.0,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,,Cash,Weekly
116,53.0,Male,Skirt,clothin,94.0,  Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48.0,Debit Card,Every 3 Months
117,55.0,Male,Shoes,Foot-wear,86.0,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12.0,Venmo,Annually
118,50.0,M,Sandals,Foot-wear,32.0,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29.0,Cash,Fortnightly
119,50.0,male,Sweater,,45.0,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27.0,Cash,Bi-Weekly
120,38.0,Male,Coat,Outerwear,76.0,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44.0,Cash,Annually
121,64.0,Male,Hat,Accessories,84.0,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32.0,Bank Transfer,Annually
122,,Male,Shorts,clothin,72.0,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11.0,Cash,Fortnightly
123,40.0,male,Backpack,Accessories,,,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44.0,Cash,Fortnightly
124,57.0,Male,Sweater,clothin,89.0,  Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46.0,Cash,Weekly
125,44.0,Male,Sweater,clothin,86.0,,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50.0,pay pal,Annually
126,49.0,male,Shorts,clothin,54.0,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45.0,Venmo,Every 3 Months
127,43.0,Male,Shorts,clothin,36.0,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48.0,Cash,Every 3 Months
128,24.0,male,Sweater,clothin,89.0,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26.0,CC,Weekly
129,20.0,Male,Scarf,Accessories,32.0,  California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21.0,CC,Fortnightly
130,24.0,male,Dress,clothin,67.0,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49.0,pay pal,Bi-Weekly
131,44.0,male,Scarf,Accessories,39.0,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13.0,pay pal,Fortnightly
132,28.0,M,Skirt,clothin,29.0,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46.0,CC,Weekly
133,30.0,male,Backpack,Accessories,58.0,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42.0,pay pal,Weekly
134,,Male,Sweater,clothin,65.0,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25.0,Venmo,Annually
135,43.0,male,Hat,Accessories,94.0,  Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25.0,Cash,Monthly
136,43.0,male,Sandals,Foot-wear,81.0,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,,pay pal,Quarterly
137,39.0,male,Blouse,clothin,86.0,  South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4.0,Debit Card,Quarterly
138,68.0,Male,Sneakers,Foot-wear,43.0,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38.0,pay pal,Weekly
139,68.0,Male,Skirt,,29.0,,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42.0,Bank Transfer,Weekly
140,,Male,Coat,Outerwear,95.0,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30.0,Venmo,Annually
141,63.0,male,Shirt,clothin,28.0,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50.0,CC,Weekly
142,,,Gloves,,46.0,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45.0,pay pal,Weekly
143,37.0,Male,Jacket,Outerwear,58.0,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33.0,CC,Fortnightly
144,30.0,Male,Coat,Outerwear,48.0,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25.0,pay pal,Quarterly
145,19.0,male,Shoes,Foot-wear,43.0,  New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25.0,Cash,Monthly
146,24.0,Male,Jewelry,Accessories,95.0,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44.0,Debit Card,Quarterly
147,,M,Skirt,,30.0,Colorado,S,Black,Fall,4.0,Yes,Standard,Yes,Yes,21.0,Venmo,Fortnightly
148,63.0,male,Shoes,Foot-wear,64.0,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31.0,Bank Transfer,Fortnightly
149,37.0,Male,Gloves,Accessories,90.0,  Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,,Debit Card,Annually
150,38.0,Male,Pants,clothin,76.0,Delaware,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14.0,pay pal,Monthly
151,35.0,Male,Boots,Foot-wear,96.0,  California,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17.0,Debit Card,Every 3 Months
152,28.0,Male,Sunglasses,Accessories,47.0,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3.0,Venmo,Annually
153,30.0,Male,Shirt,,85.0,South Carolina,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,42.0,Venmo,Annually
154,69.0,Male,Hoodie,clothin,55.0,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22.0,Debit Card,Annually
155,41.0,Male,Dress,clothin,98.0,Oklahoma,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21.0,Venmo,Quarterly
156,63.0,male,Socks,clothin,77.0,Maine,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21.0,Bank Transfer,Quarterly
157,35.0,Male,Shorts,clothin,26.0,Missouri,M,Lavender,Fall,4.0,Yes,Standard,Yes,Yes,40.0,Debit Card,Annually
158,36.0,Male,Hat,Accessories,68.0,Vermont,S,Yellow,Fall,3.0,Yes,Next Day Air,Yes,Yes,,Bank Transfer,Fortnightly
159,25.0,Male,Shirt,clothin,73.0,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50.0,Bank Transfer,Monthly
160,58.0,male,Gloves,Accessories,27.0,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39.0,Bank Transfer,Every 3 Months
161,27.0,Male,Gloves,Accessories,23.0,Texas,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34.0,Venmo,Monthly
162,65.0,Male,Backpack,Accessories,49.0,  North Dakota,M,Olive,Fall,3.0,Yes,Express,Yes,Yes,29.0,Venmo,Fortnightly
163,54.0,male,Sunglasses,Accessories,74.0,California,M,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,Yes,31.0,pay pal,Bi-Weekly
164,54.0,Male,Skirt,clothin,67.0,Virginia,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8.0,Debit Card,Weekly
165,,male,Handbag,Accessories,65.0,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5.0,CC,Fortnightly
166,42.0,Male,Handbag,Accessories,60.0,  Kentucky,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7.0,Cash,Monthly
167,46.0,Male,Sneakers,Foot-wear,31.0,Delaware,XL,Indigo,Fall,4.0,Yes,Store Pickup,Yes,Yes,30.0,Cash,Monthly
168,,Male,Gloves,Accessories,27.0,Arkansas,M,Green,Fall,4.0,Yes,Express,Yes,Yes,14.0,CC,Every 3 Months
169,34.0,Male,Shoes,Foot-wear,80.0,Louisiana,M,Magenta,Summer,3.0,Yes,Express,Yes,Yes,5.0,Cash,Fortnightly
170,27.0,Male,Jacket,Outerwear,30.0,Nevada,S,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3.0,pay pal,Every 3 Months
171,52.0,Male,Shirt,clothin,25.0,Wyoming,M,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46.0,Venmo,Bi-Weekly
172,29.0,Male,Shorts,clothin,35.0,Virginia,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4.0,CC,Weekly
173,54.0,Male,Jewelry,Accessories,67.0,  Nebraska,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42.0,CC,Bi-Weekly
174,25.0,Male,Hat,Accessories,46.0,Hawaii,M,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30.0,Cash,Annually
175,41.0,Male,Shoes,Foot-wear,35.0,Vermont,L,Brown,Winter,3.5,Yes,Express,Yes,Yes,37.0,Venmo,Annually
176,53.0,Male,Coat,Outerwear,86.0,Oklahoma,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2.0,Bank Transfer,Annually
177,53.0,Male,Backpack,Accessories,81.0,New Hampshire,L,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30.0,CC,Quarterly
178,21.0,Male,Hoodie,clothin,,Kansas,L,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,47.0,Bank Transfer,Monthly
179,61.0,Male,Skirt,clothin,43.0,Idaho,L,Lavender,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21.0,pay pal,Quarterly
180,64.0,M,Boots,Foot-wear,31.0,Illinois,M,Violet,Fall,4.9,Yes,Store Pickup,Yes,Yes,9.0,Bank Transfer,Fortnightly
181,51.0,male,Sandals,Foot-wear,81.0,South Dakota,L,Green,Fall,3.3,Yes,Store Pickup,Yes,Yes,12.0,Debit Card,Fortnightly
182,32.0,Male,Pants,clothin,61.0,Massachusetts,M,Beige,Summer,4.7,Yes,Next Day Air,Yes,Yes,4.0,Bank Transfer,Weekly
183,38.0,male,Gloves,Accessories,96.0,  Alabama,XL,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10.0,Debit Card,Annually
184,58.0,Male,Skirt,clothin,29.0,Ohio,XL,Beige,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26.0,CC,Weekly
185,32.0,Male,Sneakers,Foot-wear,,  Hawaii,L,Cyan,Spring,3.0,Yes,Express,Yes,Yes,40.0,Cash,Fortnightly
